4318, 277.3, 134, 0.0681, no trigger, navigating, null
4335, 278.4, 132.2, 0.0684, no trigger, navigating, null
4353, 279.6, 130.3, 0.0687, no trigger, navigating, null
4369, 280.6, 128.7, 0.069, no trigger, navigating, null
4387, 281.8, 126.8, 0.0694, no trigger, navigating, null
4404, 282.8, 125.1, 0.0697, no trigger, navigating, null
4420, 283.8, 123.5, 0.0699, no trigger, navigating, null
4437, 284.9, 121.8, 0.0702, no trigger, navigating, null
4454, 285.9, 120.1, 0.0705, no trigger, navigating, null
4472, 287, 118.4, 0.0709, no trigger, navigating, null
4488, 288, 116.9, 0.0711, no trigger, navigating, null
4505, 289, 115.3, 0.0714, no trigger, navigating, null
4522, 290, 113.7, 0.0717, no trigger, navigating, null
4539, 291, 112.1, 0.072, no trigger, navigating, null
4555, 291.9, 110.7, 0.0723, no trigger, navigating, null
4572, 292.9, 109.1, 0.0725, no trigger, navigating, null
4589, 293.8, 107.6, 0.0728, no trigger, navigating, null
4606, 294.8, 106.1, 0.0731, no trigger, navigating, null
4624, 295.8, 104.6, 0.0734, no trigger, navigating, null
4641, 296.7, 103.1, 0.0736, no trigger, navigating, null
4659, 297.6, 101.7, 0.0739, no trigger, navigating, null
4676, 298.6, 100.2, 0.0742, no trigger, navigating, null
4694, 299.4, 98.8, 0.0744, no trigger, navigating, null
4710, 300.3, 97.4, 0.0747, no trigger, navigating, null
4727, 301.2, 96, 0.0749, no trigger, navigating, null
4745, 302.1, 94.6, 0.0752, no trigger, navigating, null
4762, 303, 93.2, 0.0755, no trigger, navigating, null
4779, 303.8, 91.9, 0.0757, no trigger, navigating, null
4797, 304.7, 90.6, 0.0759, no trigger, navigating, null
4814, 305.5, 89.2, 0.0762, no trigger, navigating, null
4831, 306.4, 87.9, 0.0764, no trigger, navigating, null
4849, 307.2, 86.6, 0.0767, no trigger, navigating, null
4866, 308, 85.4, 0.0769, no trigger, navigating, null
4882, 308.8, 84.1, 0.0771, no trigger, navigating, null
4899, 309.5, 82.9, 0.0774, no trigger, navigating, null
4916, 310.3, 81.7, 0.0776, no trigger, navigating, null
4933, 311.1, 80.5, 0.0778, no trigger, navigating, null
4950, 311.8, 79.3, 0.078, no trigger, navigating, null
4967, 312.6, 78.1, 0.0782, no trigger, navigating, null
4983, 313.3, 77.1, 0.0785, no trigger, navigating, null
5000, 314, 75.9, 0.0787, no trigger, navigating, null
5017, 314.8, 74.8, 0.0789, no trigger, navigating, null
5034, 315.5, 73.6, 0.0791, no trigger, navigating, null
5051, 316.2, 72.5, 0.0793, no trigger, navigating, null
5069, 316.9, 71.4, 0.0795, no trigger, navigating, null
5085, 317.6, 70.4, 0.0797, no trigger, navigating, null
5102, 318.3, 69.3, 0.0799, no trigger, navigating, null
5119, 319, 68.2, 0.0801, no trigger, navigating, null
5136, 319.6, 67.2, 0.0803, no trigger, navigating, null
5153, 320.3, 66.1, 0.0805, no trigger, navigating, null
5170, 321, 65.1, 0.0807, no trigger, navigating, null
