4370, 206.5, 272.3, 0.0416, no trigger, tagging, , undefined, 0, 0
4387, 206.5, 272.3, 0.0416, no trigger, tagging, , undefined, 0, 0
4404, 206.5, 272.3, 0.0416, no trigger, tagging, , undefined, 0, 0
4421, 206.5, 272.3, 0.0416, no trigger, tagging, , undefined, 0, 0
4438, 206.5, 272.3, 0.0416, no trigger, tagging, , undefined, 0, 0
4455, 206.5, 272.3, 0.0416, no trigger, tagging, , undefined, 0, 0
4472, 206.5, 272.3, 0.0416, no trigger, tagging, , undefined, 0, 0
4489, 206.5, 272.3, 0.0416, no trigger, tagging, , undefined, 0, 0
4505, 206.5, 272.3, 0.0416, no trigger, tagging, , undefined, 0, 0
4522, 206.5, 272.3, 0.0416, no trigger, tagging, , undefined, 0, 0
4539, 206.5, 272.3, 0.0416, no trigger, tagging, , undefined, 0, 0
4556, 206.5, 272.3, 0.0416, no trigger, tagging, , undefined, 0, 0
4573, 206.5, 272.3, 0.0416, no trigger, tagging, , undefined, 0, 0
4589, 206.5, 272.3, 0.0416, no trigger, tagging, , undefined, 0, 0
4606, 206.5, 272.3, 0.0416, no trigger, tagging, , undefined, 0, 0
4624, 206.5, 272.3, 0.0416, no trigger, tagging, , undefined, 0, 0
4642, 206.5, 272.3, 0.0416, no trigger, tagging, , undefined, 0, 0
4659, 206.5, 272.3, 0.0416, no trigger, tagging, , undefined, 0, 0
4677, 206.5, 272.3, 0.0416, no trigger, tagging, , undefined, 0, 0
4694, 206.5, 272.3, 0.0416, no trigger, tagging, , undefined, 0, 0
4713, 206.5, 272.3, 0.0416, no trigger, tagging, , undefined, 0, 0
4729, 206.5, 272.3, 0.0416, no trigger, tagging, , undefined, 0, 0
4746, 206.5, 272.3, 0.0416, no trigger, tagging, , undefined, 0, 0
4763, 206.5, 272.3, 0.0416, no trigger, tagging, , undefined, 0, 0
4780, 206.5, 272.3, 0.0416, no trigger, tagging, , undefined, 0, 0
4798, 206.5, 272.3, 0.0416, no trigger, tagging, , undefined, 0, 0
4815, 206.5, 272.3, 0.0416, no trigger, tagging, , undefined, 0, 0
4832, 206.5, 272.3, 0.0416, no trigger, tagging, , undefined, 0, 0
4849, 206.5, 272.3, 0.0416, no trigger, tagging, , undefined, 0, 0
4866, 206.5, 272.3, 0.0416, no trigger, tagging, , undefined, 0, 0
4883, 206.5, 272.3, 0.0416, no trigger, tagging, , undefined, 0, 0
4900, 206.5, 272.3, 0.0416, no trigger, tagging, , undefined, 0, 0
4917, 206.5, 272.3, 0.0416, no trigger, tagging, , undefined, 0, 0
4933, 206.5, 272.3, 0.0416, no trigger, tagging, , undefined, 0, 0
4950, 206.5, 272.3, 0.0416, no trigger, tagging, , undefined, 0, 0
4967, 206.5, 272.3, 0.0416, no trigger, tagging, , undefined, 0, 0
4984, 206.5, 272.3, 0.0416, no trigger, tagging, , undefined, 0, 0
5001, 206.5, 272.3, 0.0416, no trigger, tagging, , undefined, 0, 0
5018, 206.5, 272.3, 0.0416, no trigger, tagging, , undefined, 0, 0
5035, 206.5, 272.3, 0.0416, no trigger, tagging, , undefined, 0, 0
5052, 206.5, 272.3, 0.0416, no trigger, tagging, , undefined, 0, 0
5069, 206.5, 272.3, 0.0416, no trigger, tagging, , undefined, 0, 0
5086, 206.5, 272.3, 0.0416, no trigger, tagging, , undefined, 0, 0
5102, 206.5, 272.3, 0.0416, no trigger, tagging, , undefined, 0, 0
5119, 206.5, 272.3, 0.0416, no trigger, tagging, , undefined, 0, 0
5137, 206.5, 272.3, 0.0416, no trigger, tagging, , undefined, 0, 0
5153, 206.5, 272.3, 0.0416, no trigger, tagging, , undefined, 0, 0
5170, 206.5, 272.3, 0.0416, no trigger, tagging, , undefined, 0, 0
5187, 206.5, 272.3, 0.0416, no trigger, tagging, , undefined, 0, 0
5205, 206.5, 272.3, 0.0416, no trigger, tagging, , undefined, 0, 0
5222, 206.5, 272.3, 0.0416, no trigger, tagging, , undefined, 0, 0
5238, 206.5, 272.3, 0.0416, no trigger, tagging, , undefined, 0, 0
5255, 206.5, 272.3, 0.0416, no trigger, tagging, , undefined, 0, 0
5272, 206.5, 272.3, 0.0416, no trigger, tagging, , undefined, 0, 0
5289, 206.5, 272.3, 0.0416, no trigger, tagging, , undefined, 0, 0
5305, 206.5, 272.3, 0.0416, no trigger, tagging, , undefined, 0, 0
